#,"URL Rating (desc)","Domain Rating","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language
1,14,55,http://knowledgenuts.com/2014/02/14/the-many-different-types-of-megalith/,"The Many Different Types Of Megalith - KnowledgeNuts",13,47,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,,"Late Stone Age Megalithic Tombs",,Dofollow,,"2014-02-22 00:00:28","2017-09-17 15:18:47",,
2,13,51,http://steadfastlutherans.org/2014/06/redeeming-christian-holy-days-from-pagan-lies-nativity-of-st-john-part-3-2/,"Redeeming Christian Holy Days from Pagan Lies: Nativity of St. John (Part 3) | Steadfast Lutherans",196,79,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,"In the popular understanding today it seems quite apparent from",tombs,", henge monuments",Dofollow,,"2015-02-27 03:35:09","2017-09-24 22:26:20",,
3,11,51,http://steadfastlutherans.org/2013/06/redeeming-christian-holy-days-from-pagan-lies-nativity-of-st-john-part-3/,"Redeeming Christian Holy Days from Pagan Lies: Nativity of St. John (Part 3) | Steadfast Lutherans",187,78,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,"In the popular understanding today it seems quite apparent from",tombs,", henge monuments",Dofollow,,"2015-02-28 06:34:19","2017-09-23 22:07:58",,
4,11,62,http://51.xmbs.jp/luvxx-50382-bbs_res.php?serial=2524684&page3=24&page=b&guid=on,ｺﾒﾝﾄ一覧,6,10,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,,Dofollow,,"2017-07-16 03:36:43","2017-07-16 03:36:43",,en
5,9,52,http://www.theapricity.com/forum/showthread.php?117132-The-Many-Different-Types-Of-Megalith,"The Many Different Types Of Megalith",242,15,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,,"Late Stone Age Megalithic Tombs",,Dofollow,,"2017-05-24 08:43:42","2017-07-21 14:36:44",,en
6,8,35,http://luv2go.blogspot.com/2015/02/,"LUV 2 GO: February 2015",100,137,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,"known for more than 90","megalithic tombs",", monuments, and ring forts , older than the Egyptian",Dofollow,,"2017-04-12 00:35:04","2017-09-11 16:25:51",,en
7,8,35,http://luv2go.blogspot.com/2015/02/the-burren-in-western-ireland.html,"LUV 2 GO: The Burren in Western Ireland",95,32,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,"known for more than 90","megalithic tombs",", monuments, and ring forts , older than the Egyptian",Dofollow,,"2016-05-11 13:35:39","2017-08-27 06:55:48",,en
8,7,33,https://diatheke.blogspot.com/2013/06/,"διαθηκη: 06/01/2013 - 07/01/2013",148,78,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,"In the popular understanding today it seems quite apparent from",tombs,", henge monuments , the cursus monuments and other archaeological",Dofollow,,"2017-04-10 20:09:19","2017-09-06 08:03:11",,en
9,7,33,https://diatheke.blogspot.com/2014/06/,"διαθηκη: 06/01/2014 - 07/01/2014",158,103,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,"In the popular understanding today it seems quite apparent from",tombs,", henge monuments , the cursus monuments and other archaeological",Dofollow,,"2017-04-12 21:51:25","2017-09-02 12:01:55",,en
10,6,33,https://diatheke.blogspot.com/2013/06/redeeming-holy-days-from-pagan-lies-st_23.html,"διαθηκη: Redeeming Holy Days from Pagan Lies: St. John's Day (part 3)",127,46,http://www.askaboutireland.ie/reading-room/history-heritage/monuments-built-heritage/Ancient-monuments-up-to-1/late-stone-age-megalithic/,"In the popular understanding today it seems quite apparent from",tombs,", henge monuments , the cursus monuments and other archaeological",Dofollow,,"2016-07-24 20:21:58","2017-09-06 11:05:52",,en
