#,"URL Rating (desc)","Domain Rating","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language
1,18,64,http://www.etymonline.com/index.php?l=m&p=20,"m | Origin and history of m by Online Etymology Dictionary",171,102,http://www.dictionary.com/browse/megalith,"megalith (n.)","Look up megalith at Dictionary.com",,"Dofollow, Image","Link removed","2017-04-19 12:05:59","2017-09-21 01:54:27","2017-09-25 18:08:06",en
2,16,53,http://the-definition.com/dictionary/megalith,"What does mean by 'megalith' | 'megalith' meaning at the-definition.com",78,18,http://www.dictionary.com/browse/megalith?s=t,,Dictionary.com,"Google Translator Wikipedia.com Merriam Webster",Dofollow,,"2017-04-25 06:52:00","2017-09-25 17:42:25",,
3,14,71,http://dictionary.reference.com/search?q=megalith&r=66,,0,1,http://www.dictionary.com/browse/megalith,,,,"Dofollow, Redirect 301",,"2017-05-31 23:43:23","2017-05-31 23:43:23",,
4,14,67,http://www.wordreference.com/definition/megalith,"megalith - WordReference.com Dictionary of English",68,8,http://www.dictionary.com/browse/megalith,,"Look up ""megalith"" at dictionary.com",,Dofollow,,"2017-06-03 22:05:35","2017-06-03 22:05:35",,en
5,13,63,http://www.onelook.com/?w=megalith&ls=a,"Definitions of megalith - OneLook Dictionary Search",44,89,http://www.dictionary.com/browse/megalith,"Megalith ,",megalith,": Dictionary.com [ home , info ]",Dofollow,,"2017-04-28 13:20:54","2017-04-28 13:20:54",,en
6,13,63,http://www.onelook.com/?w=megalith,"Definitions of megalith - OneLook Dictionary Search",45,92,http://www.dictionary.com/browse/megalith,"Megalith ,",megalith,": Dictionary.com [ home , info ]",Dofollow,,"2017-08-07 10:27:06","2017-08-07 10:27:06",,en
7,12,64,http://www.etymonline.com/index.php?l=m&p=20&allowed_in_frame=0,"m | Origin and history of m by Online Etymology Dictionary",171,100,http://www.dictionary.com/browse/megalith,"megalith (n.)","Look up megalith at Dictionary.com",,"Dofollow, Image",,"2017-09-20 10:36:36","2017-09-20 10:36:36",,en
8,12,64,"http://www.etymonline.com/index.php?l=m&p=20&allowed_in_frame=0 <i>grand</i>","m | Origin and history of m by Online Etymology Dictionary",181,102,http://www.dictionary.com/browse/megalith,"megalith (n.)","Look up megalith at Dictionary.com",,"Dofollow, Image",,"2017-06-03 13:26:56","2017-09-23 06:29:14",,en
9,12,64,"http://etymonline.com/index.php?l=m&p=20&allowed_in_frame=0 <i>-or</i>","m | Origin and history of m by Online Etymology Dictionary",180,102,http://www.dictionary.com/browse/megalith,"megalith (n.)","Look up megalith at Dictionary.com",,"Dofollow, Image",,"2017-05-08 07:02:37","2017-09-20 00:06:19",,en
10,12,64,"http://www.etymonline.com/index.php?l=m&p=20&allowed_in_frame=0 <i>-or</i>","m | Origin and history of m by Online Etymology Dictionary",180,102,http://www.dictionary.com/browse/megalith,"megalith (n.)","Look up megalith at Dictionary.com",,"Dofollow, Image",,"2017-05-21 15:06:40","2017-09-13 16:14:57",,en
