#,"URL Rating (desc)","Domain Rating","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language
1,25,56,http://www.hunebedcentrum.eu/en/,"Hunebedcentrum |",57,18,http://www.megalithicroutes.eu/,,"Megalithic Routes.",,Dofollow,,"2016-08-29 16:33:10","2017-09-15 20:39:08",,
2,23,54,http://blog.culture-routes.net/,"Home - Cultural Routes | Crossing Routes, blogging Europe",41,13,http://www.megalithicroutes.eu/eng/,,,,"Dofollow, Image",,"2015-08-02 15:44:11","2017-09-26 05:01:36",,en
3,21,83,https://de.wikipedia.org/wiki/Straße_der_Megalithkultur,"Straße der Megalithkultur – Wikipedia",306,50,"http://www.megalithicroutes.eu/das Projekt",,"Megalithic Routes – a European Culture Route. Das Projekt",,Nofollow,,"2013-12-01 16:40:24","2016-09-04 10:42:52",,de
4,21,83,https://de.wikipedia.org/wiki/Straße_der_Megalithkultur,"Straße der Megalithkultur – Wikipedia",306,50,http://www.megalithicroutes.eu/de,,"Dolmen und Ganggräber in Europa",,Nofollow,,"2013-12-01 16:40:24","2016-09-04 10:42:52",,de
5,19,88,https://en.wikipedia.org/wiki/Route_of_Megalithic_Culture,"Route of Megalithic Culture - Wikipedia, the free encyclopedia",271,47,http://www.megalithicroutes.eu/projektet/,,"The Project","at www.megalithicroutes.eu. Retrieved on 27 Jul 2013",Nofollow,,"2015-01-16 16:12:20","2016-06-23 14:02:08",,en
6,19,56,http://www.hunebedcentrum.eu/de/,"Hunebedcentrum |",51,17,http://www.megalithicroutes.eu/de/,,"Megalithic Routes",,Dofollow,,"2016-08-28 20:54:49","2017-09-24 13:12:27",,
7,19,63,http://www.osnabrueck.de/kultur/theater/theater-osnabrueck.html,"Stadt Osnabrück: Theater Osnabrück",98,35,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2016-01-12 09:03:38","2017-09-22 05:35:02",,de
8,19,63,http://www.osnabrueck.de/kulturerbe-siegel/,"Stadt Osnabrück: Europäisches Kulturerbe-Siegel",114,34,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2015-05-18 04:18:15","2017-09-21 00:24:49",,de
9,19,63,http://www.osnabrueck.de/kulturnacht/,"Stadt Osnabrück: Kulturnacht",101,34,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2015-07-12 14:12:25","2017-09-26 04:22:00",,de
10,17,63,http://www.osnabrueck.de/kulturnacht.html,"Stadt Osnabrück: Kulturnacht",101,34,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2015-05-19 23:04:24","2017-09-24 23:49:03",,de
11,16,63,https://www.osnabrueck.de/kulturnacht.html,"Stadt Osnabrück: Kulturnacht",101,34,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2017-04-15 09:26:43","2017-09-20 03:29:36",,de
12,16,63,http://www.osnabrueck.de/kultur.html,"Stadt Osnabrück: Kultur",118,40,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2015-05-16 03:52:15","2017-09-21 14:43:26",,de
13,16,63,https://www.osnabrueck.de/sitemap.html,"Stadt Osnabrück: Übersicht",1056,85,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2017-05-02 09:55:02","2017-09-18 20:47:30",,de
14,16,63,https://www.osnabrueck.de/kultur.html,"Stadt Osnabrück: Kultur",119,39,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2017-04-12 02:51:20","2017-09-19 02:18:11",,de
15,15,63,http://www.osnabrueck.de/index.php?id=5007,"Stadt Osnabrück: Weltfriedenstreffen",102,34,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2017-09-18 22:28:39","2017-09-18 22:28:39",,de
16,14,54,http://blog.culture-routes.net/stay-serbian-monastery-along-transromanica-cultural-route/,"Stay at a Serbian Monastery along the Transromanica Cultural Route - Cultural Routes | Crossing Routes, blogging Europe",39,22,http://www.megalithicroutes.eu/eng/,,,,"Dofollow, Image",,"2016-10-24 18:15:18","2017-09-22 00:47:22",,
17,14,63,https://www.osnabrueck.de/festivals.html,"Stadt Osnabrück: Musik- und Kulturfestivals",130,38,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2017-04-16 14:32:31","2017-09-24 10:40:08",,de
18,14,63,https://www.osnabrueck.de/ausstellungen.html,"Stadt Osnabrück: Ausstellungen",105,35,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2017-04-11 07:22:23","2017-09-15 13:34:13",,de
19,14,63,https://www.osnabrueck.de/weltfriedenstreffen.html,"Stadt Osnabrück: Weltfriedenstreffen",102,34,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2017-09-20 08:41:32","2017-09-20 08:41:32",,de
20,14,63,https://www.osnabrueck.de/kultur/theater/theater-osnabrueck.html,"Stadt Osnabrück: Theater Osnabrück",97,33,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2017-04-11 14:24:31","2017-08-30 09:00:50",,de
21,14,63,https://www.osnabrueck.de/kunst-im-oeffentlichen-raum.html,"Stadt Osnabrück: Kunst im öffentlichen Raum",101,33,http://www.megalithicroutes.eu/,,"Megalithic Routes e.V.",,Dofollow,,"2017-04-14 04:55:04","2017-09-25 21:58:07",,de
