#,"URL Rating (desc)","Domain Rating","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language
1,16,53,http://the-definition.com/dictionary/megalith,"What does mean by 'megalith' | 'megalith' meaning at the-definition.com",78,18,https://www.merriam-webster.com/dictionary/megalith,"Dictionary.com Google Translator Wikipedia.com","Merriam Webster",,Dofollow,,"2016-12-23 18:48:36","2017-09-25 17:42:25",,
2,16,60,http://www.abovetopsecret.com/forum/thread744533/pg1,"Who Were the Ancient Megalithic Builders?, page 1",83,26,https://www.merriam-webster.com/dictionary/megalith,,Webster,,Dofollow,,"2017-01-26 09:07:44","2017-09-21 01:20:58",,
3,14,67,http://www.wordreference.com/definition/megalith,"megalith - WordReference.com Dictionary of English",68,8,https://www.merriam-webster.com/dictionary/megalith,,"Look up ""megalith"" at Merriam-Webster",,Dofollow,,"2017-06-03 22:05:35","2017-06-03 22:05:35",,en
4,13,63,http://www.onelook.com/?w=megalith&ls=a,"Definitions of megalith - OneLook Dictionary Search",44,89,https://www.merriam-webster.com/dictionary/megalith,,megalith,": Merriam-Webster.com [ home , info ]",Dofollow,,"2017-01-10 01:12:16","2017-04-28 13:20:54",,en
5,13,59,http://www.rhymezone.com/r/rhyme.cgi?Word=megalith,"RhymeZone: megalith definitions",21,7,https://www.merriam-webster.com/dictionary/megalith,", Oxford , American Heritage ,",Merriam-Webster,", Wikipedia",Dofollow,,"2017-04-15 21:08:31","2017-07-21 02:14:39",,en
6,13,63,http://www.onelook.com/?w=megalith,"Definitions of megalith - OneLook Dictionary Search",45,92,https://www.merriam-webster.com/dictionary/megalith,,megalith,": Merriam-Webster.com [ home , info ]",Dofollow,,"2017-02-24 12:57:05","2017-08-07 10:27:06",,en
7,12,65,http://www.m-w.com/dictionary/megalith,,0,1,https://www.merriam-webster.com/dictionary/megalith,,,,"Dofollow, Redirect 301",,"2017-06-15 08:11:55","2017-06-15 08:11:55",,
8,12,63,https://www.onelook.com/?w=megalith&ls=a,"Definitions of megalith - OneLook Dictionary Search",44,89,https://www.merriam-webster.com/dictionary/megalith,,megalith,": Merriam-Webster.com [ home , info ]",Dofollow,,"2017-05-25 17:17:14","2017-05-25 17:17:14",,en
9,12,63,http://www.onelook.com/?ls=a&w=megalith,"Definitions of megalith - OneLook Dictionary Search",45,92,https://www.merriam-webster.com/dictionary/megalith,,megalith,": Merriam-Webster.com [ home , info ]",Dofollow,,"2017-03-07 00:31:14","2017-08-11 23:29:50",,en
10,12,63,http://www.onelook.com/?w=megalith&ls=b,"Definitions of megalith - OneLook Dictionary Search",45,92,https://www.merriam-webster.com/dictionary/megalith,,megalith,": Merriam-Webster.com [ home , info ]",Dofollow,,"2017-02-23 12:41:56","2017-07-27 16:33:46",,en
11,11,63,http://onelook.com/?loc=rescb&refclue=quoins&w=megalith,"Definitions of megalith - OneLook Dictionary Search",47,89,https://www.merriam-webster.com/dictionary/megalith,,megalith,": Merriam-Webster.com [ home , info ]",Dofollow,,"2017-02-21 12:21:26","2017-05-19 22:12:04",,en
12,11,63,http://www.onelook.com/?w=megalith&refclue=Ålum+stone&loc=resrd,"Definitions of megalith - OneLook Dictionary Search",46,88,https://www.merriam-webster.com/dictionary/megalith,,megalith,": Merriam-Webster.com [ home , info ]",Dofollow,Dropped,"2017-01-09 21:04:38","2017-01-09 21:04:38","2017-06-14 12:20:53",en
13,11,63,http://www.onelook.com/?loc=lemma2&w=megalith,"Definitions of megalith - OneLook Dictionary Search",44,89,https://www.merriam-webster.com/dictionary/megalith,,megalith,": Merriam-Webster.com [ home , info ]",Dofollow,,"2017-01-14 15:08:06","2017-05-01 02:54:26",,en
14,11,60,http://www.funtrivia.com/askft/Question140334.html,"What is the difference between a megalith and a trilithon?",28,4,https://www.merriam-webster.com/dictionary/megalith,,http://www.merriam-webster.com/dictionary/megalith,,Dofollow,,"2017-08-06 19:11:44","2017-08-06 19:11:44",,en
15,11,59,http://www.rhymezone.com/r/d=megalith,"RhymeZone: megalith definitions",21,7,https://www.merriam-webster.com/dictionary/megalith,", Oxford , American Heritage ,",Merriam-Webster,", Wikipedia",Dofollow,,"2017-03-27 20:53:40","2017-07-11 22:10:38",,en
16,10,55,http://www.unexplained-mysteries.com/forum/topic/304238-atlantis-in-the-altiplano/?page=12,"Atlantis in the Altiplano - Page 12 - Ancient Mysteries & Alternative History - Unexplained Mysteries Discussion Forums",63,143,https://www.merriam-webster.com/dictionary/megalith,,https://www.merriam-webster.com/dictionary/megalith,,Nofollow,,"2017-03-23 00:13:07","2017-08-23 17:24:04",,en
17,10,49,http://rhymes.merriam.com/r/megalith,"Rhymes with megalith | Merriam-Webster Rhyming Dictionary",57,75,https://www.merriam-webster.com/dictionary/megalith,"See full definition of",megalith,,Dofollow,,"2017-08-12 19:28:18","2017-08-12 19:28:18",,en
18,9,45,http://contactform24.com/megerlift.com/,"Megerlift.com Analyzed Sites at ContactForm24.Com",69,28,https://www.merriam-webster.com/dictionary/megalith,"Megalith | Definition of Megalith by Merriam-Webster",,,Nofollow,"Redirected 301 moved permanently","2017-05-04 00:28:22","2017-07-04 17:55:38","2017-09-06 03:17:28",en
19,9,50,http://www.memidex.com/megalith,"megalith - Memidex dictionary/thesaurus",18,35,https://www.merriam-webster.com/dictionary/megalith,,www​.merriam-webster​.com​/dictionary​/megalith,,Nofollow,,"2017-08-06 18:00:28","2017-08-06 18:00:28",,
20,9,50,http://www.memidex.com/megaliths,"megaliths - Memidex dictionary/thesaurus",19,35,https://www.merriam-webster.com/dictionary/megalith,,www​.merriam-webster​.com​/dictionary​/megalith,,Nofollow,,"2017-01-18 14:17:53","2017-08-09 14:31:39",,
21,9,50,http://www.memidex.com/megalithic-structures,"megalithic structures - Memidex dictionary/thesaurus",18,35,https://www.merriam-webster.com/dictionary/megalith,,www​.merriam-webster​.com​/dictionary​/megalith,,Nofollow,,"2017-04-07 05:38:02","2017-09-02 15:35:22",,
22,9,50,http://www.memidex.com/megalithic-structure,"megalithic structure - Memidex dictionary/thesaurus",17,35,https://www.merriam-webster.com/dictionary/megalith,,www​.merriam-webster​.com​/dictionary​/megalith,,Nofollow,,"2017-01-07 08:20:20","2017-09-22 12:47:35",,
23,9,50,http://www.english-bangla.com/dictionary/megalith,"megalith - Bengali Meaning of 'megalith' at english-bangla.com | megalith শব্দের বাংলা অর্থ",103,20,https://www.merriam-webster.com/dictionary/megalith,"Google Translator The-definition.com Dictionary.com","Merriam Webster",Wikipedia.com,Dofollow,,"2017-06-22 22:36:25","2017-07-31 08:38:07",,en
24,9,50,http://www.memidex.com/megalithic,"megalithic - Memidex dictionary/thesaurus",11,29,https://www.merriam-webster.com/dictionary/megalith,,www​.merriam-webster​.com​/dictionary​/megalith,,Nofollow,,"2017-08-04 09:23:52","2017-09-20 21:19:36",,
25,8,52,http://www.sitelinks.info/megaliths.org/,"Megaliths.org | 69.65.3.194, Similar Webs, BackLinks Results",127,62,https://www.merriam-webster.com/dictionary/megalith,"Megalith | Definition of Megalith by Merriam-Webster",,,Nofollow,,"2017-08-10 23:28:17","2017-08-10 23:28:17",,en
26,8,47,http://www.keyword-suggest-tool.com/search/megalithic.co.uk/,"™ ""Megalithic.co.uk"" Keyword Found Websites Listing | Keyword Suggestions",87,16,https://www.merriam-webster.com/dictionary/megalith,https://www.merriam-webster.com/dictionary/megalith,,,Nofollow,,"2017-07-26 13:23:00","2017-07-26 13:23:00",,en
27,8,44,http://www.rhymedb.com/word/megalith,"Words That Rhyme With Megalith - RhymeDB.com",29,15,https://www.merriam-webster.com/dictionary/megalith,", Visual-arts-cork.com , Dictionary.com ,",Merriam-webster.com,", Megaliths.org , Windows2universe.org ,",Dofollow,,"2017-01-23 04:48:10","2017-09-15 10:42:15",,
28,8,37,http://mademoisellelek.com/2016/07/17/portugal-evora-vitoria-stone-hotel/,"Portugal, Évora: Vitória Stone Hotel - Mademoiselle Le K Blog-Trotter",124,29,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2016-12-22 20:57:42","2017-09-23 14:58:45",,
29,8,46,http://dict.qeto.com/q/megalith,megalith_megalith的解释_megalith的意思_megalith的翻译_megalith的发音_megalith怎么念_megalith的例句_酷词,12,14,https://www.merriam-webster.com/dictionary/megalith,,查询韦氏词典,,Dofollow,"Redirected 301 moved permanently","2017-04-27 13:02:09","2017-04-27 13:02:09","2017-06-17 11:42:42",en
30,8,45,http://www.merriam-webstercollegiate.com/dictionary/megalith,,0,1,https://www.merriam-webster.com/dictionary/megalith,,,,"Dofollow, Redirect 301",,"2017-04-08 16:07:07","2017-09-13 18:54:38",,
31,7,37,http://mademoisellelek.com/tag/boutique-hotel/,"Boutique Hôtel Archives - Mademoiselle Le K Blog-Trotter",157,39,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2016-12-23 22:34:26","2017-09-05 03:40:52",,
