#,"URL Rating (desc)","Domain Rating","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language
1,19,72,https://fi.wikipedia.org/wiki/Megaliitti,"Megaliitti – Wikipedia",127,71,http://www.visual-arts-cork.com/prehistoric/megaliths.htm,,Megaliths,"Visual Arts Cork. Viitattu 20.1.2013.",Nofollow,,"2015-08-27 13:32:27","2017-09-03 06:34:14",,fi
2,12,71,https://answers.yahoo.com/question/index?qid=20160709202552AASxWhb,"Were the statues on easter island made by ancient aliens? There s a good chance? | Yahoo Answers",54,64,http://www.visual-arts-cork.com/prehistoric/megaliths.htm,,http://www.visual-arts-cork.com/prehisto...,,Nofollow,,"2016-07-10 03:33:38","2016-10-20 05:16:45",,en
3,11,63,http://oio11.dreamwidth.org/4079452.html,"oio11 | Russian Art: History, Characteristics",91,102,http://www.visual-arts-cork.com/prehistoric/megaliths.htm,"same time that British and Irish tribesmen were building their",megaliths,"at Newgrange and Stonehenge (see also megalithic art ), Russian",Dofollow,,"2016-03-13 22:50:26","2017-08-07 17:53:55",,en
4,9,47,https://www.nextgurukul.in/wiki/concept/Gujarat/VI/History/Megaliths.htm,"Gujarat Board Class 6 History | Megaliths | Lessson Summary, Notes & Q&A",49,13,http://www.visual-arts-cork.com/prehistoric/megaliths.htm,,"Visual-arts-cork - Megaliths",,Nofollow,"Redirected 302 redirect","2017-03-14 13:07:53","2017-08-16 05:29:42","2017-08-31 17:49:42",en
5,9,47,https://www.nextgurukul.in/wiki/concept/Kerala/VIII/History/Megaliths.htm,"Kerala Board Class 8 History | Megaliths | Lessson Summary, Notes & Q&A",82,13,http://www.visual-arts-cork.com/prehistoric/megaliths.htm,,"Visual-arts-cork - Megaliths",,Nofollow,"Redirected 302 redirect","2017-03-06 03:37:45","2017-08-15 04:59:44","2017-09-02 09:10:44",en
6,9,47,https://www.nextgurukul.in/wiki/concept/Tamilnadu/VI/History/Megaliths.htm,"Tamilnadu Board Class 6 History | Megaliths | Lessson Summary, Notes & Q&A",54,13,http://www.visual-arts-cork.com/prehistoric/megaliths.htm,,"Visual-arts-cork - Megaliths",,Nofollow,"Redirected 302 redirect","2017-05-01 23:33:33","2017-08-13 12:05:54","2017-09-01 11:50:07",en
7,9,47,https://www.nextgurukul.in/wiki/concept/CBSE/VI/History/Megaliths.htm,"CBSE Class 6 History | Megaliths | Lessson Summary, Notes & Q&A",54,13,http://www.visual-arts-cork.com/prehistoric/megaliths.htm,,"Visual-arts-cork - Megaliths",,Nofollow,"Redirected 302 redirect","2017-02-19 06:45:54","2017-07-28 02:06:57","2017-08-31 19:13:47",en
8,9,48,http://www.learnnext.com/nextgurukul/wiki/concept/CBSE/VI/History/Megaliths.htm,"Class 6 CBSE History What Books and Burials Tell Us? Megaliths - Wiki",193,11,http://www.visual-arts-cork.com/prehistoric/megaliths.htm,,"Visual-arts-cork - Megaliths",,Nofollow,"Redirected 302 redirect","2015-04-26 09:22:01","2015-10-16 22:04:51","2017-06-01 02:11:33",en
9,9,48,http://www.learnnext.com/nextgurukul/wiki/concept/Gujarat/VI/History/Megaliths.htm,"Class 6 Gujarat History Semester II_Social Life in Ancient Time Megaliths - Wiki",197,12,http://www.visual-arts-cork.com/prehistoric/megaliths.htm,,"Visual-arts-cork - Megaliths",,Nofollow,"Redirected 302 redirect","2015-05-10 04:57:51","2015-11-18 06:14:27","2017-09-01 06:55:39",en
10,8,52,http://www.sitelinks.info/megaliths.org/,"Megaliths.org | 69.65.3.194, Similar Webs, BackLinks Results",127,62,http://www.visual-arts-cork.com/prehistoric/megaliths.htm,"Megaliths: Stone Age Architecture - Art Encyclopedia",,,Nofollow,,"2017-08-10 23:28:17","2017-08-10 23:28:17",,en
